cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;populacao;n_internacoes;DOENCAS_CRONICAS;ANO;MES
170025;1700251;Abreulândia;TO;2576;1;3.881987577639751;2022;0
170030;1700301;Aguiarnópolis;TO;4497;4;8.8948187680676;2022;0
170035;1700350;Aliança do Tocantins;TO;5147;3;5.8286380415776184;2022;0
170040;1700400;Almas;TO;6499;9;13.848284351438682;2022;0
170070;1700707;Alvorada;TO;8802;14;15.905476028175414;2022;0
170100;1701002;Ananás;TO;10325;34;32.92978208232445;2022;0
170105;1701051;Angico;TO;2876;0;0.0;2022;0
170110;1701101;Aparecida do Rio Negro;TO;4856;3;6.177924217462932;2022;0
170130;1701309;Aragominas;TO;5290;6;11.342155009451794;2022;0
170190;1701903;Araguacema;TO;5927;42;70.86215623418255;2022;0
170200;1702000;Araguaçu;TO;8133;50;61.477929423337024;2022;0
170210;1702109;Araguaína;TO;171301;212;12.375876381340449;2022;0
170215;1702158;Araguanã;TO;4310;13;30.162412993039442;2022;0
170220;1702208;Araguatins;TO;31918;40;12.532113540948682;2022;0
170230;1702307;Arapoema;TO;5550;25;45.04504504504504;2022;0
170240;1702406;Arraias;TO;10287;40;38.88402838534072;2022;0
170255;1702554;Augustinópolis;TO;17484;22;12.582932967284373;2022;0
170270;1702703;Aurora do Tocantins;TO;3342;3;8.976660682226212;2022;0
170290;1702901;Axixá do Tocantins;TO;10262;11;10.719158058857923;2022;0
170300;1703008;Babaçulândia;TO;7880;9;11.421319796954316;2022;0
170305;1703057;Bandeirantes do Tocantins;TO;3407;8;23.48106838861168;2022;0
170307;1703073;Barra do Ouro;TO;4476;3;6.702412868632708;2022;0
170310;1703107;Barrolândia;TO;4846;8;16.50846058605035;2022;0
170320;1703206;Bernardo Sayão;TO;4229;11;26.01087727595176;2022;0
170330;1703305;Bom Jesus do Tocantins;TO;4038;10;24.764735017335312;2022;0
170360;1703602;Brasilândia do Tocantins;TO;1974;1;5.065856129685917;2022;0
170370;1703701;Brejinho de Nazaré;TO;4725;6;12.698412698412698;2022;0
170380;1703800;Buriti do Tocantins;TO;10307;4;3.8808576695449695;2022;0
170382;1703826;Cachoeirinha;TO;1961;0;0.0;2022;0
170384;1703842;Campos Lindos;TO;8653;8;9.24534843406911;2022;0
170386;1703867;Cariri do Tocantins;TO;4007;3;7.486897928624906;2022;0
170388;1703883;Carmolândia;TO;2201;6;27.260336210813268;2022;0
170389;1703891;Carrasco Bonito;TO;3318;2;6.027727546714888;2022;0
170390;1703909;Caseara;TO;4847;0;0.0;2022;0
170410;1704105;Centenário;TO;2131;1;4.692632566870014;2022;0
170460;1704600;Chapada de Areia;TO;1501;1;6.662225183211192;2022;0
170510;1705102;Chapada da Natividade;TO;3117;2;6.416426050689766;2022;0
170550;1705508;Colinas do Tocantins;TO;34233;52;15.190021324453012;2022;0
170555;1705557;Combinado;TO;4756;6;12.615643397813288;2022;0
170560;1705607;Conceição do Tocantins;TO;3887;3;7.718034473887317;2022;0
170600;1706001;Couto Magalhães;TO;5331;5;9.379103357719002;2022;0
170610;1706100;Cristalândia;TO;6371;4;6.278449223041909;2022;0
170625;1706258;Crixás do Tocantins;TO;1470;2;13.605442176870747;2022;0
170650;1706506;Darcinópolis;TO;5827;15;25.742234425948173;2022;0
170700;1707009;Dianópolis;TO;17739;21;11.838322340605444;2022;0
170710;1707108;Divinópolis do Tocantins;TO;7024;26;37.01594533029613;2022;0
170720;1707207;Dois Irmãos do Tocantins;TO;6327;0;0.0;2022;0
170730;1707306;Dueré;TO;4248;2;4.708097928436911;2022;0
170740;1707405;Esperantina;TO;7530;7;9.296148738379815;2022;0
170755;1707553;Fátima;TO;3467;7;20.19036631093164;2022;0
170765;1707652;Figueirópolis;TO;5211;0;0.0;2022;0
170770;1707702;Filadélfia;TO;7712;8;10.37344398340249;2022;0
170820;1708205;Formoso do Araguaia;TO;18881;72;38.13357343361051;2022;0
170825;1708254;Tabocão;TO;3455;1;2.894356005788712;2022;0
170830;1708304;Goianorte;TO;4738;7;14.774166314900802;2022;0
170900;1709005;Goiatins;TO;12433;7;5.630177752754766;2022;0
170930;1709302;Guaraí;TO;24775;27;10.898082744702322;2022;0
170950;1709500;Gurupi;TO;85125;76;8.928046989720999;2022;0
170980;1709807;Ipueiras;TO;1590;0;0.0;2022;0
171050;1710508;Itacajá;TO;6819;10;14.664906877841325;2022;0
171070;1710706;Itaguatins;TO;5172;4;7.733952049497294;2022;0
171090;1710904;Itapiratins;TO;3577;1;2.795638803466592;2022;0
171110;1711100;Itaporã do Tocantins;TO;2404;2;8.319467554076539;2022;0
171150;1711506;Jaú do Tocantins;TO;3334;0;0.0;2022;0
171180;1711803;Juarina;TO;2243;0;0.0;2022;0
171190;1711902;Lagoa da Confusão;TO;15288;11;7.195185766614339;2022;0
171195;1711951;Lagoa do Tocantins;TO;3516;2;5.688282138794084;2022;0
171200;1712009;Lajeado;TO;3357;7;20.85195114685731;2022;0
171215;1712157;Lavandeira;TO;1626;11;67.65067650676507;2022;0
171240;1712405;Lizarda;TO;2999;2;6.668889629876625;2022;0
171245;1712454;Luzinópolis;TO;2717;3;11.04158998895841;2022;0
171250;1712504;Marianópolis do Tocantins;TO;4615;6;13.001083423618637;2022;0
171270;1712702;Mateiros;TO;2748;3;10.91703056768559;2022;0
171280;1712801;Maurilândia do Tocantins;TO;3095;2;6.462035541195477;2022;0
171320;1713205;Miracema do Tocantins;TO;18566;18;9.695141656791986;2022;0
171330;1713304;Miranorte;TO;12701;11;8.66073537516731;2022;0
171360;1713601;Monte do Carmo;TO;5694;13;22.831050228310502;2022;0
171370;1713700;Monte Santo do Tocantins;TO;2396;1;4.173622704507513;2022;0
171380;1713809;Palmeiras do Tocantins;TO;4872;2;4.105090311986864;2022;0
171395;1713957;Muricilândia;TO;3367;2;5.94000594000594;2022;0
171420;1714203;Natividade;TO;8754;13;14.850354123829106;2022;0
171430;1714302;Nazaré;TO;4521;1;2.2119000221190004;2022;0
171488;1714880;Nova Olinda;TO;10367;11;10.610591299315136;2022;0
171500;1715002;Nova Rosalândia;TO;3362;3;8.92325996430696;2022;0
171510;1715101;Novo Acordo;TO;3969;1;2.5195263290501386;2022;0
171515;1715150;Novo Alegre;TO;1846;1;5.417118093174431;2022;0
171525;1715259;Novo Jardim;TO;2230;6;26.90582959641256;2022;0
171550;1715507;Oliveira de Fátima;TO;1164;1;8.59106529209622;2022;0
171570;1715705;Palmeirante;TO;4798;4;8.336807002917883;2022;0
171575;1715754;Palmeirópolis;TO;6975;8;11.469534050179211;2022;0
171610;1716109;Paraíso do Tocantins;TO;52360;53;10.122230710466004;2022;0
171620;1716208;Paranã;TO;10542;23;21.81749193701385;2022;0
171630;1716307;Pau D'Arco;TO;4043;6;14.840465001236705;2022;0
171650;1716505;Pedro Afonso;TO;14055;62;44.112415510494486;2022;0
171660;1716604;Peixe;TO;9317;8;8.586454867446603;2022;0
171665;1716653;Pequizeiro;TO;4921;5;10.16053647632595;2022;0
171670;1716703;Colméia;TO;8941;14;15.65820378033777;2022;0
171700;1717008;Pindorama do Tocantins;TO;4478;11;24.564537740062526;2022;0
171720;1717206;Piraquê;TO;2282;9;39.439088518843114;2022;0
171750;1717503;Pium;TO;7128;78;109.42760942760943;2022;0
171780;1717800;Ponte Alta do Bom Jesus;TO;4220;4;9.47867298578199;2022;0
171790;1717909;Ponte Alta do Tocantins;TO;7586;12;15.818613234906406;2022;0
171800;1718006;Porto Alegre do Tocantins;TO;2866;7;24.424284717376132;2022;0
171820;1718204;Porto Nacional;TO;64418;112;17.386444782514204;2022;0
171830;1718303;Praia Norte;TO;9044;6;6.6342326404245915;2022;0
171840;1718402;Presidente Kennedy;TO;3047;10;32.81916639317362;2022;0
171845;1718451;Pugmil;TO;2193;2;9.119927040583676;2022;0
171850;1718501;Recursolândia;TO;3421;9;26.30809704764689;2022;0
171855;1718550;Riachinho;TO;3960;11;27.77777777777778;2022;0
171865;1718659;Rio da Conceição;TO;1768;2;11.312217194570136;2022;0
171870;1718709;Rio dos Bois;TO;2738;4;14.609203798392988;2022;0
171875;1718758;Rio Sono;TO;4841;4;8.262755629002273;2022;0
171880;1718808;Sampaio;TO;4215;6;14.234875444839858;2022;0
171884;1718840;Sandolândia;TO;3723;12;32.232070910556004;2022;0
171886;1718865;Santa Fé do Araguaia;TO;7216;6;8.314855875831485;2022;0
171888;1718881;Santa Maria do Tocantins;TO;2680;9;33.582089552238806;2022;0
171889;1718899;Santa Rita do Tocantins;TO;2219;0;0.0;2022;0
171890;1718907;Santa Rosa do Tocantins;TO;4653;2;4.298302170642596;2022;0
171900;1719004;Santa Tereza do Tocantins;TO;2781;0;0.0;2022;0
172000;1720002;Santa Terezinha do Tocantins;TO;2406;4;16.62510390689942;2022;0
172010;1720101;São Bento do Tocantins;TO;5654;10;17.686593562079945;2022;0
172015;1720150;São Félix do Tocantins;TO;1783;1;5.608524957936063;2022;0
172020;1720200;São Miguel do Tocantins;TO;13241;2;1.5104599350502228;2022;0
172025;1720259;São Salvador do Tocantins;TO;2385;2;8.385744234800837;2022;0
172030;1720309;São Sebastião do Tocantins;TO;4100;4;9.75609756097561;2022;0
172049;1720499;São Valério;TO;4422;3;6.7842605156037985;2022;0
172065;1720655;Silvanópolis;TO;5108;7;13.703993735317148;2022;0
172080;1720804;Sítio Novo do Tocantins;TO;10830;2;1.8467220683287164;2022;0
172085;1720853;Sucupira;TO;1577;2;12.682308180088777;2022;0
172090;1720903;Taguatinga;TO;14011;18;12.847048747412746;2022;0
172093;1720937;Taipas do Tocantins;TO;2021;2;9.896091044037606;2022;0
172097;1720978;Talismã;TO;2456;3;12.214983713355048;2022;0
172100;1721000;Palmas;TO;302692;143;4.72427417969421;2022;0
172110;1721109;Tocantínia;TO;7459;18;24.131921169057513;2022;0
172120;1721208;Tocantinópolis;TO;22615;46;20.34048198098607;2022;0
172125;1721257;Tupirama;TO;1909;9;47.145102147721325;2022;0
172130;1721307;Tupiratins;TO;1874;5;26.680896478121664;2022;0
172208;1722081;Wanderlândia;TO;10522;13;12.355065576886524;2022;0
172210;1722107;Xambioá;TO;10517;79;75.11647808310354;2022;0
